height,footSize,birthday
181,24.3,
185,26.2,
185,26,
180,25.5,
181,25.8,
178,26,
175,24.5,
178,25.5,
175,22.9,
180,25,
170,25,
170,25.2,
182,27.5,
181,26,
178,25.5,
173,25.3,
174,25,
166,24.2,
175,25.7,
176,25.5,
167,24.6,
176,24.9,
167,22.8,
175,25.5,
174,24.1,
176,25,
168,24,
170,24.1,
168,25.2,
174,24.2,
164,23.3,
177,24.5,
175,25.8,
173,25.4,
171,24.2,
162,23.5,
174,25.2,
176,25.5,
182,26,
170,24.1,
174,25.3,
162,23.6,
162,23.6,
175,24.7,
